[2024-04-17 12:45:35][Debug] Driver init
[2024-04-17 12:45:36][Event] =MRA Crawler ver1.0=
[2024-04-17 12:45:42][Debug] Get *https://www.mrashop.de/com/model-based-products/* page
[2024-04-17 12:49:03][Debug] Brand : YAMAHA, Model : XV 125 Virago, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xv-125-virago/alle-bj/
[2024-04-17 12:49:06][Debug] Brand : YAMAHA, Model : XV 250, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xv-250/alle-bj/
[2024-04-17 12:49:08][Debug] Brand : YAMAHA, Model : XV 250 Virago, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xv-250-virago/alle-bj/
[2024-04-17 12:49:11][Debug] Brand : YAMAHA, Model : XV 535 Virago, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xv-535-virago/alle-bj/
[2024-04-17 12:49:13][Debug] Brand : YAMAHA, Model : XV 750 SE, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xv-750-se/alle-bj/
[2024-04-17 12:49:15][Debug] Brand : YAMAHA, Model : XV 750 Virago, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xv-750-virago/alle-bj/
[2024-04-17 12:49:17][Debug] Brand : YAMAHA, Model : XV 1000 SE Midn. Spec., Year : BJ 83-, Value : https://www.mrashop.de/com/model-based-products/yamaha/xv-1000-se-midn.-spec./bj-83/
[2024-04-17 12:49:20][Debug] Brand : YAMAHA, Model : XV 1000 TR1, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xv-1000-tr1/alle-bj/
[2024-04-17 12:49:22][Debug] Brand : YAMAHA, Model : XV 1000 Virago, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xv-1000-virago/alle-bj/
[2024-04-17 12:49:25][Debug] Brand : YAMAHA, Model : XV 1100 Virago, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xv-1100-virago/alle-bj/
[2024-04-17 12:49:27][Debug] Brand : YAMAHA, Model : XV 1600, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xv-1600/alle-bj/
[2024-04-17 12:49:30][Debug] Brand : YAMAHA, Model : XV 1600 Wild Star, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xv-1600-wild-star/alle-bj/
[2024-04-17 12:49:32][Debug] Brand : YAMAHA, Model : XV 1700 Road Star Warrior, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xv-1700-road-star-warrior/alle-bj/
[2024-04-17 12:49:34][Debug] Brand : YAMAHA, Model : XV 1900 Midnight Star, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xv-1900-midnight-star/alle-bj/
[2024-04-17 12:49:36][Debug] Brand : YAMAHA, Model : XVS 125 Drag Star, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xvs-125-drag-star/alle-bj/
[2024-04-17 12:49:39][Debug] Brand : YAMAHA, Model : XVS 250 Drag Star, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xvs-250-drag-star/alle-bj/
[2024-04-17 12:49:39][Debug] Brand : YAMAHA, Model : XVS 250 Drag Star, Year : BJ 00-, Value : https://www.mrashop.de/com/model-based-products/yamaha/xvs-250-drag-star/bj-00/
[2024-04-17 12:49:41][Debug] Brand : YAMAHA, Model : XVS 650 American Classic, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xvs-650-american-classic/alle-bj/
[2024-04-17 12:49:44][Debug] Brand : YAMAHA, Model : XVS 650 Drag Star, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xvs-650-drag-star/alle-bj/
[2024-04-17 12:49:46][Debug] Brand : YAMAHA, Model : XVS 1100 American Classic, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xvs-1100-american-classic/alle-bj/
